feature,importance
num__lag_1,0.9157729787477055
num__change_1,0.01347116291852894
num__lag_2,0.011763584512546301
num__rolling_3,0.010045552873294393
num__target_month_cos,0.00782981739031288
cat__target_season_Mùa khô,0.0064531656062027255
num__rolling_5,0.0062072718014600705
num__lag_5,0.005493322541298314
num__lag_3,0.0046368004211009535
num__lag_4,0.004599678089723071
num__target_month_num,0.0037065148748042596
num__target_month_sin,0.0020914836394502778
cat__disease_target_Bệnh virut khác - Other viral diseases,0.0010529117150654182
cat__disease_target_COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,0.0010321852310676573
num__target_year,0.0009827279507792963
cat__disease_target_Các bệnh viêm phổi - Pneumonia,0.0006308115643324842
cat__age_group_1-5 tu?i,0.0006138990533850812
cat__disease_target_Hen - Asthma,0.0004527082702632037
cat__disease_target_Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,0.00040418456023260513
cat__disease_target_Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,0.0003104863055871917
cat__disease_target_Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,0.00025681134660835743
cat__age_group_6-10 tu?i,0.00021704715874997733
cat__target_season_Mùa mưa,0.00021163657727986951
cat__age_group_D??i 1 tu?i,0.0001994994938406206
cat__disease_target_Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,0.00019152173879497515
cat__disease_target_Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,0.00017536469878385132
cat__age_group_11-15 tu?i,0.000104371796804857
cat__disease_target_Bệnh bạch cầu - Leukaemia,9.81709583965841e-05
"cat__disease_target_Các triệu chứng, dấu hiệu và kết quả bất thường về khám lâm sàng và xét nghiệm khác, chưa xếp ở chỗ khác - Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",9.677413814527773e-05
cat__disease_target_Dị tật bẩm sinh khác của bộ máy sinh dục tiết niệu - Other malformations of the genitourinary system,7.531957435296458e-05
"cat__disease_target_Viêm thanh, khí quản cấp - Acute laryngitis and tracheitis",7.308487980464391e-05
"cat__disease_target_Bệnh khác của khoang miệng, tuyến nước bọt và hàm - Other diseases of the oral cavity, salivary glands and jaws",4.178195639596692e-05
cat__disease_target_Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,3.8387081111702604e-05
cat__disease_target_Tai biến của thuốc và các chất sinh học trong điều trị - Drugs medicament and biological substances causing adverseeffects in therapeutic use.,3.252060274152594e-05
cat__disease_target_Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,3.124897694424261e-05
"cat__disease_target_Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",3.0210551302667218e-05
"cat__disease_target_U khác insitu, lành tính và các u tiến triển không chắc chắn hoặc chưa rõ - Other insitus and benign neoplasms and neoplasms of uncertain or unknown behaviour",3.0032447452198354e-05
cat__disease_target_Dị dạng bẩm sinh của bộ máy sinh dục tiết niệu - Congenital malformations of genital organs,2.8803209746406135e-05
cat__disease_target_Dị dạng bẩm sinh khác - Other congenital malformations,2.8587200912326143e-05
"cat__disease_target_Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",2.7625070550468954e-05
cat__disease_target_Viêm dạ dày và tá tràng - Gastritis and duodenitis,2.3478995858923612e-05
"cat__disease_target_Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",2.13123334266266e-05
cat__disease_target_Thoát vị bẹn - Inguinal hernia,1.8905020184707817e-05
cat__disease_target_Viêm hệ thần kinh trung ương - Inflamatory diseases of the central nervous system,1.849403619152601e-05
cat__disease_target_Tổn thương khác có nguồn gốc trong thời kỳ chu sinh - Other conditions originating in the perinatal period,1.831761285606605e-05
"cat__disease_target_Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood",1.7168077466649885e-05
cat__disease_target_Bệnh khác của da và mô tế bào dưới da - Other diseases of skin and subcutaneous tissue,1.6931214016264415e-05
cat__disease_target_U ác mạc treo và các mô mềm - Malignantneoplasms of mesothelial and soft tissue,1.6575179999808322e-05
cat__age_group_Tr?n 15 tu?i,1.609408490875427e-05
cat__disease_target_Bệnh của hệ thống tổ chức liên kết - Systematic connective tissue disorders,1.476648077280303e-05
cat__disease_target_Dị tật bẩm sinh khác của bộ máy tuần hoàn - Congenital malfor-mation of the circulatory system,1.2495677691422532e-05
cat__disease_target_Nhiễm khuẩn và kí sinh vật bẩm sinh - Congenital infectious and parasitic diseases,1.2366048210643466e-05
cat__disease_target_U bạch huyết không phải Hodgkin - Non-Hodgkin's lymphoma,1.1739607571800471e-05
cat__disease_target_Bệnh khác của hệ thần kinh - Other diseases of the nervous system,1.1725579500475464e-05
cat__disease_target_Tinh hoàn lạc chỗ - Undescended testicle,1.1605694298646226e-05
cat__disease_target_Thiếu máu khác - Other anaemias,1.1566545885587495e-05
