feature,importance
num__lag_1,0.8906960747174717
num__rolling_3,0.03304993435421396
num__change_1,0.01007538423280901
num__target_month_num,0.009877465839475812
num__lag_2,0.008443243521798437
num__rolling_5,0.007320129183846974
num__lag_5,0.007295232698315597
num__lag_4,0.005804904305940338
num__lag_3,0.005569319809913001
num__target_month_cos,0.0038957208190517267
num__target_month_sin,0.003288681817417458
num__target_year,0.0030265602615289437
cat__disease_target_Các bệnh viêm phổi - Pneumonia,0.002876211987734909
cat__disease_target_Bệnh virut khác - Other viral diseases,0.001550256137795181
cat__disease_target_COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,0.0008603795780185644
cat__age_group_1-5 tu?i,0.0006342089617878539
cat__target_season_Mùa mưa,0.0006206907348455457
cat__target_season_Mùa khô,0.0005940520304290009
cat__age_group_D??i 1 tu?i,0.0005050657320586831
cat__disease_target_Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,0.00043262857114695396
cat__age_group_6-10 tu?i,0.0003950519351555035
cat__disease_target_Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,0.0003298486385831511
cat__disease_target_Dị tật bẩm sinh khác của bộ máy sinh dục tiết niệu - Other malformations of the genitourinary system,0.00029431734446728206
cat__disease_target_Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,0.00025498519854103913
cat__disease_target_Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,0.0002505468468906105
cat__disease_target_Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,0.00022299675932035962
cat__disease_target_Hen - Asthma,0.0001858115206559315
"cat__disease_target_Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",0.0001683313489783379
cat__disease_target_Bệnh bạch cầu - Leukaemia,0.00015896829144356693
cat__age_group_11-15 tu?i,0.0001220378193216493
cat__age_group_Tr?n 15 tu?i,0.00011878376691801347
"cat__disease_target_U khác insitu, lành tính và các u tiến triển không chắc chắn hoặc chưa rõ - Other insitus and benign neoplasms and neoplasms of uncertain or unknown behaviour",6.806466574860287e-05
cat__disease_target_Dị dạng bẩm sinh của bộ máy sinh dục tiết niệu - Congenital malformations of genital organs,5.512349200608726e-05
cat__disease_target_Thoát vị bẹn - Inguinal hernia,5.079605388353069e-05
"cat__disease_target_Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",4.811750647866112e-05
"cat__disease_target_Các triệu chứng, dấu hiệu và kết quả bất thường về khám lâm sàng và xét nghiệm khác, chưa xếp ở chỗ khác - Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",4.631574840080224e-05
"cat__disease_target_Viêm thanh, khí quản cấp - Acute laryngitis and tracheitis",4.6305061731493016e-05
"cat__disease_target_Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",4.394371045767486e-05
"cat__disease_target_Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",4.3661508146856205e-05
"cat__disease_target_Bệnh khác của khoang miệng, tuyến nước bọt và hàm - Other diseases of the oral cavity, salivary glands and jaws",3.9030162018493894e-05
cat__disease_target_Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,3.426236893791736e-05
cat__disease_target_Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,2.9664635506183917e-05
cat__disease_target_Tổn thương khác có nguồn gốc trong thời kỳ chu sinh - Other conditions originating in the perinatal period,2.9175325273644954e-05
