disease_target,age_group,target_year,target_month_num,target_season,target_month_sin,target_month_cos,lag_1,lag_2,lag_3,lag_4,lag_5,rolling_3,rolling_5,change_1,last_completed_period,forecast_period,previous_cases,predicted_cases,trend,risk_level,change_percent
Bệnh virut khác - Other viral diseases,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,30,25,20,12,13,25.0,20.0,5,2026-05,2026-06,30,40,Tăng mạnh,Cao,33.33
Các bệnh viêm phổi - Pneumonia,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,11,16,18,13,31,15.0,17.8,-5,2026-05,2026-06,11,16,Tăng mạnh,Cao,45.45
Các bệnh viêm phổi - Pneumonia,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,10,18,18,26,21,15.333333333333334,18.6,-8,2026-05,2026-06,10,14,Tăng mạnh,Cao,40.0
Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,10,27,24,17,27,20.333333333333332,21.0,-17,2026-05,2026-06,10,14,Tăng mạnh,Cao,40.0
Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,8,21,13,20,20,14.0,16.4,-13,2026-05,2026-06,8,12,Tăng mạnh,Cao,50.0
Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,6,6,16,13,11,9.333333333333334,10.4,0,2026-05,2026-06,6,11,Tăng mạnh,Cao,83.33
Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,18,22,32,25,32,24.0,25.8,-4,2026-05,2026-06,18,23,Tăng,Trung bình,27.78
Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,18,18,16,18,29,17.333333333333332,19.8,0,2026-05,2026-06,18,21,Tăng,Trung bình,16.67
Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,15,14,22,16,23,17.0,18.0,1,2026-05,2026-06,15,17,Tăng,Trung bình,13.33
Bệnh virut khác - Other viral diseases,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,8,16,11,5,5,11.666666666666666,9.0,-8,2026-05,2026-06,8,10,Tăng,Trung bình,25.0
Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,5,8,8,7,5,7.0,6.6,-3,2026-05,2026-06,5,6,Tăng,Trung bình,20.0
Bệnh virut khác - Other viral diseases,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,4,6,2,1,11,4.0,4.8,-2,2026-05,2026-06,4,5,Tăng,Trung bình,25.0
Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,4,4,2,1,7,3.3333333333333335,3.6,0,2026-05,2026-06,4,5,Tăng,Trung bình,25.0
Dị dạng bẩm sinh bàn chân - Congenital deformities of feet,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,4,Tăng từ 0 ca,Trung bình,
Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,5,3,1,4,2.6666666666666665,2.6,-5,2026-05,2026-06,0,4,Tăng từ 0 ca,Trung bình,
Dị dạng bẩm sinh bàn chân - Congenital deformities of feet,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
Dị dạng bẩm sinh khác của hệ xương và cơ - Other congenital malformations and deformations of the musculo skeletal system,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
Dị dạng bẩm sinh khác của hệ xương và cơ - Other congenital malformations and deformations of the musculo skeletal system,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
Dị dạng bẩm sinh khác của hệ xương và cơ - Other congenital malformations and deformations of the musculo skeletal system,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
Dị dạng bẩm sinh khác của hệ xương và cơ - Other congenital malformations and deformations of the musculo skeletal system,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
Dị dạng bẩm sinh khác của hệ xương và cơ - Other congenital malformations and deformations of the musculo skeletal system,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
Hen - Asthma,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,2,0,0,1,0.6666666666666666,0.6,-2,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
Sởi - Measles,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
Thiếu máu khác - Other anaemias,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
"Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood",1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,3,1,2,3,1.3333333333333333,1.8,-3,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
"Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood",6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,5,1,4,2,2.0,2.4,-5,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
Động kinh - Epilepsy,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,3,1,2,1,1.3333333333333333,1.4,-3,2026-05,2026-06,0,2,Tăng từ 0 ca,Trung bình,
Biến dạng các chi mắc phải - Accquired deformities of limbs,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Biến dạng các chi mắc phải - Accquired deformities of limbs,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Biến dạng các chi mắc phải - Accquired deformities of limbs,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Biến dạng các chi mắc phải - Accquired deformities of limbs,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Bệnh bạch cầu - Leukaemia,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Bệnh khác của cột sống - Other dorsopathies,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,2,0,2,0.6666666666666666,0.8,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Chảy máu não - Intracerebral haemorrhage,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Chảy máu não - Intracerebral haemorrhage,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Chảy máu não - Intracerebral haemorrhage,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Chảy máu não - Intracerebral haemorrhage,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Chậm phát triển tâm thần - Mental retardation,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Các bệnh khác của gan - Other diseases of liver,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Cúm - Influenza,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,1,1,0.0,0.4,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Dị dạng bẩm sinh bàn chân - Congenital deformities of feet,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Dị dạng bẩm sinh bàn chân - Congenital deformities of feet,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Dị dạng bẩm sinh bàn chân - Congenital deformities of feet,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Dị tật bẩm sinh khác của bộ máy tuần hoàn - Congenital malfor-mation of the circulatory system,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Dị tật bẩm sinh khác của bộ máy tuần hoàn - Congenital malfor-mation of the circulatory system,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Dị tật bẩm sinh khác của bộ máy tuần hoàn - Congenital malfor-mation of the circulatory system,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
Dị tật bẩm sinh khác của bộ máy tuần hoàn - Congenital malfor-mation of the circulatory system,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,1,Tăng từ 0 ca,Trung bình,
