period,year,month_num,season,disease_target,age_group,case_count
2022-01,2022,1,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,1-5 tu?i,6
2022-01,2022,1,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,6-10 tu?i,4
2022-01,2022,1,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,D??i 1 tu?i,2
2022-01,2022,1,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",1-5 tu?i,1
2022-01,2022,1,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",11-15 tu?i,5
2022-01,2022,1,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",6-10 tu?i,3
2022-01,2022,1,Mùa khô,Bệnh virut khác - Other viral diseases,1-5 tu?i,10
2022-01,2022,1,Mùa khô,Bệnh virut khác - Other viral diseases,6-10 tu?i,5
2022-01,2022,1,Mùa khô,Bệnh virut khác - Other viral diseases,D??i 1 tu?i,7
2022-01,2022,1,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1-5 tu?i,1
2022-01,2022,1,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,11-15 tu?i,1
2022-01,2022,1,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,6-10 tu?i,3
2022-01,2022,1,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,D??i 1 tu?i,1
2022-01,2022,1,Mùa khô,Các bệnh viêm phổi - Pneumonia,1-5 tu?i,16
2022-01,2022,1,Mùa khô,Các bệnh viêm phổi - Pneumonia,6-10 tu?i,4
2022-01,2022,1,Mùa khô,Các bệnh viêm phổi - Pneumonia,D??i 1 tu?i,10
2022-01,2022,1,Mùa khô,Cúm - Influenza,1-5 tu?i,7
2022-01,2022,1,Mùa khô,Cúm - Influenza,6-10 tu?i,3
2022-01,2022,1,Mùa khô,Cúm - Influenza,D??i 1 tu?i,1
2022-01,2022,1,Mùa khô,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,11-15 tu?i,3
2022-01,2022,1,Mùa khô,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,6-10 tu?i,4
2022-01,2022,1,Mùa khô,Hen - Asthma,1-5 tu?i,1
2022-01,2022,1,Mùa khô,Hen - Asthma,11-15 tu?i,6
2022-01,2022,1,Mùa khô,Hen - Asthma,6-10 tu?i,2
2022-01,2022,1,Mùa khô,Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,1-5 tu?i,4
2022-01,2022,1,Mùa khô,Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,6-10 tu?i,2
2022-01,2022,1,Mùa khô,Không rõ nhóm bệnh,D??i 1 tu?i,2
2022-01,2022,1,Mùa khô,Thuỷ đậu và zôna - Varicella and Zoster,6-10 tu?i,4
2022-01,2022,1,Mùa khô,Thuỷ đậu và zôna - Varicella and Zoster,D??i 1 tu?i,1
2022-01,2022,1,Mùa khô,"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",1-5 tu?i,2
2022-01,2022,1,Mùa khô,"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",6-10 tu?i,1
2022-01,2022,1,Mùa khô,"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",1-5 tu?i,1
2022-01,2022,1,Mùa khô,"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",6-10 tu?i,2
2022-01,2022,1,Mùa khô,"Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood",1-5 tu?i,2
2022-01,2022,1,Mùa khô,"Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood",11-15 tu?i,1
2022-01,2022,1,Mùa khô,Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,1-5 tu?i,18
2022-01,2022,1,Mùa khô,Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,6-10 tu?i,18
2022-01,2022,1,Mùa khô,Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,D??i 1 tu?i,4
2022-01,2022,1,Mùa khô,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,1-5 tu?i,17
2022-01,2022,1,Mùa khô,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,11-15 tu?i,1
2022-01,2022,1,Mùa khô,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,6-10 tu?i,12
2022-01,2022,1,Mùa khô,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,D??i 1 tu?i,2
