disease_target,rows,total_actual_cases,MAE,RMSE,R2
Các bệnh viêm phổi - Pneumonia,66,10375,29.8788,53.4583,0.9309
Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,55,4089,17.6,30.647,0.8906
Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,55,3618,14.9273,25.2115,0.9027
Dị tật bẩm sinh khác của bộ máy sinh dục tiết niệu - Other malformations of the genitourinary system,55,3494,14.4182,24.5086,0.8732
"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",55,3491,15.7273,23.214,0.8796
Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,66,3226,11.2273,19.3058,0.8866
Bệnh bạch cầu - Leukaemia,55,2240,8.3091,12.9958,0.8778
Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,55,1884,19.8909,40.5933,0.5396
"Các triệu chứng, dấu hiệu và kết quả bất thường về khám lâm sàng và xét nghiệm khác, chưa xếp ở chỗ khác - Other symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",66,1646,5.3485,10.0416,0.8582
Hen - Asthma,55,1635,10.3636,17.6903,0.8415
Sởi - Measles,55,1575,13.5273,22.6105,0.7119
Bệnh virut khác - Other viral diseases,55,1348,10.7455,19.3771,0.5456
Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,55,1295,4.2909,7.0993,0.8712
"Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood",55,1274,5.3636,7.24,0.7587
Tổn thương khác có nguồn gốc trong thời kỳ chu sinh - Other conditions originating in the perinatal period,55,1109,6.4545,10.27,0.8038
"U khác insitu, lành tính và các u tiến triển không chắc chắn hoặc chưa rõ - Other insitus and benign neoplasms and neoplasms of uncertain or unknown behaviour",55,1099,5.7273,8.2693,0.6493
Thoát vị bẹn - Inguinal hernia,55,1078,5.3636,8.7355,0.7964
Động kinh - Epilepsy,55,1054,4.6545,6.2144,0.7671
Bệnh khác của da và mô tế bào dưới da - Other diseases of skin and subcutaneous tissue,55,1039,4.7273,6.4583,0.7714
Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod,55,1034,6.4727,8.8111,0.7094
Viêm dạ dày và tá tràng - Gastritis and duodenitis,55,956,5.6727,8.6171,0.7846
Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,55,901,4.8909,7.315,0.7885
Dị dạng bẩm sinh của bộ máy sinh dục tiết niệu - Congenital malformations of genital organs,55,851,4.7455,6.7703,0.7757
"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",66,822,2.803,5.9912,0.9056
"Thừa bao qui đầu, hẹp và nghẹt bao qui đầu - Redundant prepuce, phimosis and paraphimosis",55,821,7.0909,14.0945,0.5531
Dị tật bẩm sinh khác của bộ máy tuần hoàn - Congenital malfor-mation of the circulatory system,55,748,4.7091,7.4821,0.631
Thiếu máu khác - Other anaemias,55,713,2.7818,3.5853,0.8652
Bệnh của ruột thừa - Diseases of appendix,55,650,2.5636,3.7197,0.9086
Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,55,642,3.0364,4.1757,0.7276
"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",55,623,3.4364,4.9045,0.4931
Bệnh của hệ thống tổ chức liên kết - Systematic connective tissue disorders,55,561,3.2545,4.4292,0.6204
"Các tổn thương khác do chấn thương xác định và ở nhiều nơi - Other injuries of specified, unspecified and multiple body regions",55,549,2.5818,3.7659,0.7812
Tinh hoàn lạc chỗ - Undescended testicle,55,477,3.2727,4.7136,0.7414
Các bệnh khác của gan - Other diseases of liver,55,472,3.2909,4.7117,0.6771
