MAICD,disease_group_id,report_group_code,disease_group_name
A40.2,17,A40-A41,Nhiễm khuẩn huyết - Septicemia
A21,18,"A21-A22,A24-A28,A31-A32,A38,A42-A49",Các bệnh do vi khuẩn khác - Other bacterial diseases
A00,1,A00,Tả - Cholera
A01,2,A01,"Thương hàn, phó thương hàn - Typhoid and paratyphoid fevers"
A02,6,"A02,A04-A05,A07-A08",Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases
A03,3,A03,Ỉa chảy do Shigella - Shigellosis
A06,4,A06,Lỵ Amip - Amoebiasis
A09,5,A09,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin."
A15,7,A15-A16,Lao bộ máy hô hấp - Respiratory tuberculosis
A19,8,A17-A19,Các dạng lao khác - Other tuberculosis
A20,9,A20,Dịch hạch - Plague
A23,10,A23,Bệnh do Brucella - Brucellosis
A30,11,A30,Phong - Leprosy
A33,12,A33,Uốn ván sơ sinh - Tetanus neonatorum
A34,13,A34-A35,Các dạng uốn ván khác - Other tetanus
A36,14,A36,Bạch hầu - Diphtheria
A37,15,A37,Ho gà - Whooping cough
A39,16,A39,Nhiễm khuẩn não mô cầu - Meningococcal infection
B18.9,38,"B15,B17-B19",Viêm gan virut khác - Other viral hepatitis
B20,39,B20-B24,Nhiễm HIV - Human immuno deficiency virus disease
B26,40,B26,Quai bị - Mumps
A81,41,"A81,A87-A89,B03-B04,B07-B09,B25,B27-B34",Bệnh virut khác - Other viral diseases
A49,19,A49,Giang mai bẩm sinh - Congenital syphilis
A50,20,A50,"Giang mai sớm (Giang mai I, II và kín) - Early syphilis"
A51,21,A51-A53,Các loại giang mai khác - Other syphilis
A54,22,A54,Nhiễm lậu cầu khuẩn - Gonococcal infection
A55,23,A55-A56,Nhiễm khuẩn Chlamydia lây truyền qua đường tình dục - Sexually transmitted chlamydial diseases
A57,24,A57-A64,Nhiễm khuẩn khác lây truyền qua đường tình dục - Other infection with a predominantly sexual mode of transmission
A68,25,A68,Sốt hồi quy - Relapsing fever
A71,26,A71,Mắt hột - Trachoma
A75,27,A75,Sốt Rickettsia - Typhus fever
A80,28,A80,Bại liệt cấp - Acute poliomyelitis
A82,29,A82,Dại - Rabies
A83,30,A83-A86,Viêm não Virut - Viral encephalitis
A95,31,A95,Sốt vàng - Yellow fever
A90,32,"A90-A94,A96-A99",Sốt virut khác do tiết túc truyền và sốt virus xuất huyết - Other arthropod
B00,33,B00,Nhiễm virut Héc-pét - Herpesviral infections
B01,34,B01-B02,Thuỷ đậu và zôna - Varicella and Zoster
F16.4,114,F11-F19,Rối loạn tâm thần và ứng xử liên quan dùng các chất kích thích tâm lí khác - Mental and behavioural disorders due to other psychoactive substances use
B05,35,B05,Sởi - Measles
B06,36,B06,Rubella - Rubella
B16,37,B16,Viêm gan B cấp - Acute hepatitis B
B42.1,42,B35-B49,Nấm - Mycoses
B69.8,53,"B68-B71,B75,B77-B83",Bệnh giun sán khác - Other Helminthiases
B90,54,B90,Di chứng lao - Sequelae of tuberculosis
B91,55,B91,Di chứng viêm tủy xám cấp - Sequelae of poliomyelitis
B92,56,B92,Di chứng phong - Sequelae of leprosy
A65,57,"A65-A67,A69-A70,A74,A77-A79,B58-B64,B85-B89,B94-B99",Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases
B50,43,B50-B54,Sốt rét - Malaria
B55,44,B55,Leishamania - Leishmaniasis
B56,45,B56-B57,Trypanosomia - Trypanosomiasis
B65,46,B65,Sán máng - Schistosomiasis
B66,47,B66,Các nhiễm khuẩn do sán lá - Other fluke infections
B67,48,B67,Sán Echinococ - Echinococcosis
B72,49,B72,Giun rồng - Dracunculiasis
B73,50,B73,Giun onchocerca - Onchocerciasis
B74,51,B74,Giun chỉ - Filariasis
B76,52,B76,Giun móc - Hookworm diseases
C31.1,68,"C30-C31,C37-C39",Các u khác cơ quan hô hấp và lồng ngực - Other malignant neplasm of respiratory and intrathoracic
C40,69,C40-C41,U ác xương và sụn khớp - Malignant neoplasms of bone and articular cartilage
C43,70,C43,U ác hắc tố da - Malignant melanoma of skin
C44,71,C44,Các u ác khác của da - Other malignant neoplasms of skin
C45,72,C45-C49,U ác mạc treo và các mô mềm - Malignantneoplasms of mesothelial and soft tissue
C00,58,C00-C14,"U ác môi, khoang miệng, họng - Malignant neoplasm of lip, oral cavity and pharynx"
C15,59,C15,U ác thực quản - Malignant neoplasm of oesophagus
C16,60,C16,U ác dạ dày - Malignant neoplasm of stomach
C18,61,C18,U ác đại tràng - Malignant neoplasm of colon
C19,62,C19-C21,"U ác chỗ nối trực tràng sigma, trực tràng, hậu môn và ống hậu môn - Malignant neoplasm of rectosigmoid function, rectum, anus and anal canal"
C22,63,C22,U ác gan và đường mật trong gan - Malignant neoplasm of liver and intrahepatic bile ducts
C25,64,C25,U ác tụy - Malignant neoplasm of pancreas
C17,65,"C17,C23-C24,C26",Các u khác cơ quan tiêu hoá - Other malignant neoplasms of digestive organs
C32,66,C32,U ác thanh quản - Malignant neoplasm of larynx
C33,67,C33-C34,"U ác khí quản, phế quản và phổi - Malignant neoplasms of trachea, bronchus and lung"
C68.8,80,"C64-C66,C68",U ác khác của đường tiết niệu - Other malignant neoplasms of uterinary tract
C69,81,C69,U ác mắt và các phần phụ - Malignant neoplasm of eye and adnexa
C71,82,C71,U ác não - Malignant neoplasm of brain
C70,83,"C70,C72",U ác các phần khác của hệ thần kinh trung ương - Malignant neoplasm of other parts of central nervous system
C73,84,"C73-C80,C97","U ác các khu trú khác, khó định nghĩa, thứ phát, không xác định rõ và phức hợp - Malignant neoplasm of other and ill"
C91,87,C91-C95,Bệnh bạch cầu - Leukaemia
C88,88,"C86,C88-C90,C96","U ác limphô khác, cơ quan tạo máu và tổ chức có liên quan - Other malignant neoplasms of lymphoid, haematopoietic and related tissue"
D06,89,D06,Caxinom cổ tử cung - Carcinoma insitu of cervix uterus
D22,90,D22-D23,U da lành - Benign neoplasm of skin
D24,91,D24,U vú lành - Benign neoplasm of breast
D25,92,D25,U cơ trơn tử cung - Leiomyoma of uterus
C81,85,C81,Bệnh Hodgkin - Hodgkin disease
C82,86,C82-C85,U bạch huyết không phải Hodgkin - Non-Hodgkin's lymphoma
C50,73,C50,U ác vú - Malignant neoplasm of breast
C51,74,"C51-C52,C57-C58",U ác khác cơ quan sinh dục nữ - Malignant neoplasms of female genital organs
C53,75,C53,U ác cổ tử cung - Malignant neoplasm of cervix uteri
C54,76,C54-C55,U ác các phần khác và không xác định của tử cung - Malignant neoplasms of other and unspecified parts of uterus
C61,77,C61,U tiền liệt tuyến - Neoplasm neoplasm of prostate
C60,78,"C60,C62-C63",U ác khác của cơ quan sinh dục nam - Other malignant neoplasms of male genital organs
C67,79,C67,U ác bàng quang - Malignant neoplasm of bladder
D39.9,96,"D00-D05,D07-D21,D26,D28-D29,D31-D32,D34-D48","U khác insitu, lành tính và các u tiến triển không chắc chắn hoặc chưa rõ - Other insitus and benign neoplasms and neoplasms of uncertain or unknown behaviour"
D27,93,D27,U buồng trứng lành - Benign neoplasm of ovary
D30,94,D30,U lành cơ quan tiết niệu - Benign neoplasm of urinary organs
D33,95,D33,U lành não và các phần khác của hệ thần kinh trung ương - Benign neoplasm of brain and other parts of central nervous system
D61.8,98,D51-D64,Thiếu máu khác - Other anaemias
D65,99,D65-D77,"Tổn thương chảy máu, bệnh khác của máu và cơ quan tạo máu - Haemorrhagic conditions and other diseases of blood, blood"
D82.8,100,D80-D89,Một số rối loạn hệ miễn dịch - Certain disorders involving the immune mechanism
E00,101,E00-E02,Tổn thương tuyến giáp liên quan đến thiếu iod - Iodine deficiency- related thyroid disorders
E05,102,E05,Nhiễm độc do tuyến giáp (cường giáp) - Thyrotoxicosis
E03,103,"E03-E04,E06-E07",Tổn thương khác của tuyến giáp - Other disorders of thyroid.
D50,97,D50,Thiếu máu do thiếu sắt - Iron deficiency anaemia
E58,111,"E15-E35,E58-E63,E65,E67-E84,E85,E87,E88-E89,E90","Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders"
E10,104,E10-E14,Đái tháo đường - Diabetes mellitus.
G73.3,129,"G10-G14,G21-G26,G31-G32,G36-G37,G46-G47,G60-G73,G90-G99",Bệnh khác của hệ thần kinh - Other diseases of the nervous system
F10.0,113,F10,Rối loạn tâm thần và ứng xử liên quan uống rượu - Mental and behavioural disorders due to use of alcohol
E40,105,E40-E46,Suy dinh dưỡng - Malnutrition
E50,106,E50,Thiếu Vitamin A - Vitamin A deficiency
E51,107,E51-E56,Thiếu vitamin khác - Other vitamin deficiencies.
E64,108,E64,Hậu quả của suy dinh dưỡng và thiếu chất dinh dưỡng khác - Sequalae of malnutrition and other nutritional deficiencies
E66,109,E66,Béo phì - Obesity
E86,110,E86,Giảm lượng máu - Volume depletion
G59.0,127,G50-G59,"Tổn thương thần kinh, rễ và đám rối thần kinh - Nerve, nerve root and plexus disorders"
F01,112,F00-F03,Sa sút trí tuệ - Dementia
I39.2,152,"I27-I43,I51-I52",Bệnh tim khác - Other heart diseases
F31.2,116,F30-F39,Rối loạn khí sắc - Mood ( affective) disorders.
F40,117,F40-F48,"Loạn thần kinh, rối loạn gắn liền với các yếu tố stress và các rối loạn thuộc thân thể - Neurotic, sterss - related and somatoform disorders"
F20,115,F20-F29,"Tâm thần phân liệt, rối loạn dạng phân liệt và hoang tưởng - Schizophrenia, schiztypal and delusional disorders"
G03.0,120,G00-G09,Viêm hệ thần kinh trung ương - Inflamatory diseases of the central nervous system
G20,121,G20,Parkinson - Parkinson’s disease
G30,122,G30,Alzheimer - Alzheimer’s disease
G35,123,G35,Xơ cứng nhiều nơi - Multiple sclerosis
G40,124,G40-G41,Động kinh - Epilepsy
G43,125,G43-G44,Đau nửa đầu và các hội chứng đau đầu khác - Migraine and other headache syndromes.
G45,126,G45,Cơn thiếu máu não thoáng qua và các hội chứng tương tự - Transient cerebral ischaemic attacks and related syndromes
F70,118,F70-F79,Chậm phát triển tâm thần - Mental retardation
F04,119,"F04-F09,F50-F69,F80-F99",Rối loạn tâm thần và nhân cách khác - Other mental and behavioural disorders
G80.8,128,G80-G83,"Liệt não, hội chứng liệt khác - Cerebral palsy and other paralytic syndromes"
K31.7,185,"K20-K23,K28,K30-K31","Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum"
K35.2,186,K35-K38,Bệnh của ruột thừa - Diseases of appendix
J09,168,J09-J11,Cúm - Influenza
J99.0,179,"J22,J61-J99",Bệnh khác của bộ máy hô hấp - Other diseases of respiratory system.
K43.2,188,K41-K46,Các thoát vị khác - Other hernia
J12.3,169,J12-J18,Các bệnh viêm phổi - Pneumonia
K93.0,197,"K87-K93,K82-K83",Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system
K02.5,180,K02,Sâu răng - Dental caries
M82.0,208,M80-M85,Di tật về mật độ và cấu trúc của xương - Disorders of bone density and structure
M01.2,203,"M00-M03,M22-M25",Bệnh khác của khớp - Other joint disorders
H31.1,139,"H30-H32,H34-H36,H43-H48,H51,H53-H55,H57-H59",Các bệnh khác của mắt và phần phụ mắt - Other diseases of the eye and adnexa
