date,temp_mean_today,temp_max_today,temp_min_today,humidity_mean_today,precipitation_sum_today,rain_sum_today,weather_code,wind_speed_max_today,wind_gusts_max_today,temp_mean_3d,humidity_mean_3d,precipitation_sum_3d,rain_sum_3d,temp_mean_7d,humidity_mean_7d,precipitation_sum_7d,rain_sum_7d,rain_days_7d,month,season
2021-01-01,26.05,30.9,22.2,52.333,0.0,0.0,3,21.6,34.9,26.05,52.333,0.0,0.0,26.05,52.333,0.0,0.0,0.0,1,Mùa khô
2021-01-02,26.421,32.2,22.4,55.792,0.3,0.3,3,10.9,20.9,26.235,54.062,0.3,0.3,26.235,54.062,0.3,0.3,1.0,1,Mùa khô
2021-01-03,26.95,33.2,22.4,60.833,0.2,0.2,3,18.5,33.1,26.474,56.319,0.5,0.5,26.474,56.319,0.5,0.5,2.0,1,Mùa khô
2021-01-04,27.958,33.5,23.4,64.208,1.0,1.0,3,16.4,29.5,27.11,60.278,1.5,1.5,26.845,58.292,1.5,1.5,3.0,1,Mùa khô
2021-01-05,28.317,33.0,24.0,66.042,3.9,3.9,3,15.0,49.0,27.742,63.694,5.1,5.1,27.139,59.842,5.4,5.4,4.0,1,Mùa khô
2021-01-06,28.325,33.3,23.9,64.292,0.1,0.1,1,14.4,43.6,28.2,64.847,5.0,5.0,27.337,60.583,5.5,5.5,5.0,1,Mùa khô
2021-01-07,28.671,35.2,24.5,61.25,0.0,0.0,0,19.8,35.3,28.438,63.861,4.0,4.0,27.527,60.679,5.5,5.5,5.0,1,Mùa khô
2021-01-08,28.3,34.5,23.4,60.875,0.0,0.0,3,17.6,31.0,28.432,62.139,0.1,0.1,27.849,61.899,5.5,5.5,5.0,1,Mùa khô
2021-01-09,27.092,32.5,22.6,57.667,0.0,0.0,2,18.2,31.0,28.021,59.931,0.0,0.0,27.945,62.167,5.2,5.2,4.0,1,Mùa khô
2021-01-10,27.017,32.9,21.9,58.208,0.0,0.0,3,18.9,31.3,27.469,58.917,0.0,0.0,27.954,61.792,5.0,5.0,3.0,1,Mùa khô
2021-01-11,27.554,34.3,21.4,56.333,0.0,0.0,3,24.4,38.9,27.221,57.403,0.0,0.0,27.896,60.667,4.0,4.0,2.0,1,Mùa khô
2021-01-12,26.488,32.9,21.5,50.292,0.0,0.0,2,15.9,27.7,27.019,54.944,0.0,0.0,27.635,58.417,0.1,0.1,1.0,1,Mùa khô
2021-01-13,25.046,30.8,19.4,51.667,0.0,0.0,0,11.3,25.6,26.362,52.764,0.0,0.0,27.167,56.613,0.0,0.0,0.0,1,Mùa khô
2021-01-14,25.379,31.8,20.5,64.125,0.0,0.0,3,21.2,37.1,25.638,55.361,0.0,0.0,26.696,57.024,0.0,0.0,0.0,1,Mùa khô
2021-01-15,25.662,32.8,20.7,66.792,0.0,0.0,1,20.6,40.3,25.362,60.861,0.0,0.0,26.32,57.869,0.0,0.0,0.0,1,Mùa khô
2021-01-16,26.183,32.8,21.7,64.5,0.0,0.0,1,18.8,33.5,25.742,65.139,0.0,0.0,26.19,58.845,0.0,0.0,0.0,1,Mùa khô
2021-01-17,26.954,34.7,21.8,59.292,0.0,0.0,3,20.1,34.9,26.267,63.528,0.0,0.0,26.181,59.0,0.0,0.0,0.0,1,Mùa khô
2021-01-18,26.429,32.6,21.5,49.458,0.0,0.0,3,16.1,24.8,26.522,57.75,0.0,0.0,26.02,58.018,0.0,0.0,0.0,1,Mùa khô
2021-01-19,25.829,31.3,20.2,48.958,0.0,0.0,3,10.7,25.2,26.404,52.569,0.0,0.0,25.926,57.827,0.0,0.0,0.0,1,Mùa khô
2021-01-20,26.933,32.7,21.6,65.458,0.0,0.0,3,16.5,28.1,26.397,54.625,0.0,0.0,26.196,59.798,0.0,0.0,0.0,1,Mùa khô
2021-01-21,27.175,32.8,22.3,68.333,0.0,0.0,3,18.1,32.8,26.646,60.917,0.0,0.0,26.452,60.399,0.0,0.0,0.0,1,Mùa khô
2021-01-22,26.604,31.5,23.3,75.667,10.0,10.0,3,13.2,25.9,26.904,69.819,10.0,10.0,26.587,61.667,10.0,10.0,1.0,1,Mùa khô
2021-01-23,25.721,29.0,23.7,81.5,5.1,5.1,1,11.9,21.2,26.5,75.167,15.1,15.1,26.521,64.095,15.1,15.1,2.0,1,Mùa khô
2021-01-24,26.075,30.8,22.7,78.167,1.3,1.3,1,13.7,21.2,26.133,78.444,16.4,16.4,26.395,66.792,16.4,16.4,3.0,1,Mùa khô
2021-01-25,26.054,31.1,22.6,78.417,0.2,0.2,3,19.5,31.3,25.95,79.361,6.6,6.6,26.342,70.929,16.6,16.6,4.0,1,Mùa khô
