disease_group_id,disease_group_name,report_group_code,support_level,model_supported,train_support_rows,train_support_case_count,validation_support_rows,validation_support_case_count,validation_recall_top_1,validation_recall_top_5,test_support_rows,test_support_case_count,test_recall_top_1,test_recall_top_5
1,Tả - Cholera,A00,insufficient,True,1,1,1,1,0.0,0.0,2,2,0.0,0.0
100,Một số rối loạn hệ miễn dịch - Certain disorders involving the immune mechanism,D80-D89,medium,True,139,152,38,47,0.0,0.0,49,57,0.0,0.0
101,Tổn thương tuyến giáp liên quan đến thiếu iod - Iodine deficiency- related thyroid disorders,E00-E02,insufficient,True,2,2,0,0,,,0,0,,
102,Nhiễm độc do tuyến giáp (cường giáp) - Thyrotoxicosis,E05,low,True,39,39,14,14,0.0,0.0,3,3,0.0,0.0
103,Tổn thương khác của tuyến giáp - Other disorders of thyroid.,"E03-E04,E06-E07",low,True,78,81,16,16,0.0,0.0,24,24,0.0,0.0
104,Đái tháo đường - Diabetes mellitus.,E10-E14,medium,True,346,369,105,115,0.0,0.0,95,101,0.0,0.0
105,Suy dinh dưỡng - Malnutrition,E40-E46,low,True,60,61,6,6,0.0,0.0,15,15,0.0,0.0
107,Thiếu vitamin khác - Other vitamin deficiencies.,E51-E56,insufficient,True,6,6,0,0,,,2,2,0.0,0.0
109,Béo phì - Obesity,E66,low,True,33,34,4,4,0.0,0.0,5,5,0.0,0.0
111,"Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders","E15-E35,E58-E63,E65,E67-E84,E85,E87,E88-E89,E90",high,True,563,676,199,217,0.0,0.009216589861751152,225,243,0.0,0.0
114,Rối loạn tâm thần và ứng xử liên quan dùng các chất kích thích tâm lí khác - Mental and behavioural disorders due to other psychoactive substances use,F11-F19,insufficient,False,0,0,1,1,0.0,0.0,0,0,,
115,"Tâm thần phân liệt, rối loạn dạng phân liệt và hoang tưởng - Schizophrenia, schiztypal and delusional disorders",F20-F29,insufficient,True,4,4,5,5,0.0,0.0,2,2,0.0,0.0
116,Rối loạn khí sắc - Mood ( affective) disorders.,F30-F39,insufficient,True,6,6,3,3,0.0,0.0,2,2,0.0,0.0
117,"Loạn thần kinh, rối loạn gắn liền với các yếu tố stress và các rối loạn thuộc thân thể - Neurotic, sterss - related and somatoform disorders",F40-F48,low,True,73,74,31,31,0.0,0.0,25,26,0.0,0.0
118,Chậm phát triển tâm thần - Mental retardation,F70-F79,low,True,44,44,7,7,0.0,0.0,4,4,0.0,0.0
119,Rối loạn tâm thần và nhân cách khác - Other mental and behavioural disorders,"F04-F09,F50-F69,F80-F99",low,True,128,130,31,31,0.0,0.0,31,33,0.0,0.0
120,Viêm hệ thần kinh trung ương - Inflamatory diseases of the central nervous system,G00-G09,high,True,614,661,310,347,0.0,0.0,252,281,0.0,0.0
123,Xơ cứng nhiều nơi - Multiple sclerosis,G35,insufficient,True,10,10,2,2,0.0,0.0,2,2,0.0,0.0
