timestamp,phase,memory_used_mib,gpu_utilization_percent
1786204684.9533339,launch,0.0,0.0
1786204686.340618,launch,0.0,0.0
1786204687.6903594,ready,12.0,0.0
1786204688.2434237,training,6086.0,98.0
1786204688.7973773,training,6086.0,31.0
1786204689.3539827,training,6086.0,67.0
1786204689.9074621,training,6086.0,61.0
1786204690.4647107,training,6086.0,74.0
1786204691.021085,training,6086.0,78.0
1786204691.57499,training,6086.0,76.0
1786204692.1355708,training,6086.0,76.0
1786204692.6892083,training,6086.0,62.0
1786204693.240334,training,6086.0,77.0
1786204693.783617,training,6086.0,79.0
1786204694.33918,training,6086.0,74.0
1786204694.8992276,training,6086.0,79.0
1786204695.4566398,training,6086.0,83.0
1786204696.0095074,training,6086.0,79.0
1786204696.564371,training,6086.0,84.0
1786204697.135556,training,6086.0,74.0
1786204697.6848404,training,6086.0,80.0
1786204698.2428157,training,6086.0,75.0
1786204698.8003104,training,6086.0,73.0
1786204699.3583457,training,6086.0,81.0
1786204699.9125626,training,6086.0,76.0
1786204700.4679668,training,6086.0,70.0
1786204701.022344,training,6086.0,79.0
1786204701.5820844,training,6086.0,78.0
1786204702.137611,training,6086.0,80.0
1786204702.695957,training,6086.0,78.0
1786204703.2546666,training,6086.0,79.0
1786204703.8116407,training,6086.0,75.0
1786204704.3908885,training,6086.0,74.0
1786204704.9605145,done,0.0,0.0
