timestamp,phase,memory_used_mib,gpu_utilization_percent
1786204662.5979025,launch,0.0,0.0
1786204663.9955473,setup,0.0,0.0
1786204665.4966104,ready,102.0,0.0
1786204666.145482,training,6086.0,29.0
1786204666.790599,training,6086.0,63.0
1786204667.4316874,training,6086.0,59.0
1786204668.0720983,training,6086.0,80.0
1786204668.7165642,training,6086.0,77.0
1786204669.3569975,training,6086.0,83.0
1786204669.9966335,training,6086.0,77.0
1786204670.6456788,training,6086.0,77.0
1786204671.2774765,training,6086.0,80.0
1786204671.9195774,training,6086.0,73.0
1786204672.5613873,training,6086.0,72.0
1786204673.2037494,training,6086.0,80.0
1786204673.8479297,training,6086.0,78.0
1786204674.4912362,training,6086.0,74.0
1786204675.1324618,training,6086.0,78.0
1786204675.766932,training,6086.0,77.0
1786204676.410307,training,6086.0,80.0
1786204677.0543692,training,6086.0,80.0
1786204677.7043219,training,6086.0,77.0
1786204678.339171,training,6086.0,72.0
1786204678.9711297,training,6086.0,79.0
1786204679.6067612,training,6086.0,73.0
1786204680.2514334,training,6086.0,79.0
1786204680.8842404,training,6086.0,79.0
1786204681.5187008,training,6086.0,81.0
