timestamp,phase,memory_used_mib,gpu_utilization_percent
1786202847.4968722,launch,1024.0,52.0
1786202848.053365,launch,1024.0,55.0
1786202848.629757,setup,1024.0,54.0
1786202849.252955,ready,1035.0,53.0
1786202849.824949,training,7109.0,95.0
1786202850.3810997,training,7109.0,88.0
1786202850.9390903,training,7109.0,90.0
1786202851.510778,training,7109.0,84.0
1786202852.068939,training,7109.0,84.0
1786202852.6299546,training,7109.0,94.0
1786202853.186339,training,7109.0,86.0
1786202853.7571614,training,7109.0,91.0
1786202854.3199599,training,7110.0,91.0
1786202854.8851917,training,7110.0,90.0
1786202855.4466395,training,7110.0,90.0
1786202856.0167599,training,7110.0,91.0
1786202856.5733514,training,7110.0,95.0
1786202857.1388962,training,7109.0,96.0
1786202857.6976984,training,7109.0,92.0
1786202858.2693045,training,7109.0,90.0
1786202858.8407245,training,7109.0,93.0
1786202859.4182558,training,7109.0,92.0
1786202859.9951916,training,7109.0,93.0
1786202860.553651,training,7109.0,91.0
1786202861.1263998,training,7109.0,93.0
1786202861.687582,training,7109.0,90.0
1786202862.247709,training,7109.0,94.0
1786202862.8162208,training,7109.0,94.0
1786202863.3740814,training,7109.0,91.0
1786202863.9475834,training,7109.0,93.0
1786202864.5201066,training,7109.0,90.0
1786202865.0932984,training,7109.0,94.0
1786202865.6554737,training,7109.0,90.0
1786202866.2285497,training,7110.0,94.0
1786202866.784269,training,7112.0,94.0
1786202867.3544722,training,7112.0,93.0
1786202867.9150774,training,7112.0,94.0
1786202868.4880488,training,7112.0,94.0
1786202869.0835571,training,7116.0,91.0
1786202869.6878939,training,7115.0,93.0
1786202870.2606108,training,7110.0,94.0
1786202870.817906,training,7110.0,92.0
1786202871.3867512,training,7110.0,95.0
1786202871.9575012,training,7110.0,89.0
1786202872.5334766,training,7110.0,91.0
1786202873.1393394,training,7110.0,96.0
1786202873.7085388,training,7110.0,91.0
1786202874.2763686,training,7110.0,96.0
1786202874.8354294,training,7110.0,96.0
1786202875.3934612,training,7110.0,92.0
1786202875.9618845,training,7110.0,93.0
1786202876.5371497,training,7110.0,94.0
1786202877.1015246,training,7110.0,93.0
1786202877.6591609,training,7110.0,93.0
1786202878.2316613,training,7110.0,93.0
1786202878.806349,training,7110.0,93.0
1786202879.3730383,training,7110.0,95.0
1786202879.9492054,training,7110.0,96.0
1786202880.5230007,training,7110.0,91.0
1786202881.0923502,training,7110.0,92.0
1786202881.6651182,training,7110.0,93.0
1786202882.2377517,training,7110.0,94.0
1786202882.8092403,training,7110.0,97.0
1786202883.3657362,training,7110.0,91.0
1786202883.9246867,training,7110.0,91.0
1786202884.494632,training,7110.0,94.0
1786202885.063898,training,7110.0,95.0
1786202885.6363795,training,7110.0,90.0
1786202886.2103808,done,1130.0,67.0
