timestamp,phase,memory_used_mib,gpu_utilization_percent
1786202803.6693482,launch,1027.0,54.0
1786202804.241652,launch,1031.0,54.0
1786202804.8000476,launch,1029.0,55.0
1786202805.3734164,launch,1029.0,53.0
1786202805.947298,launch,1027.0,44.0
1786202806.522318,launch,1027.0,54.0
1786202807.0915892,launch,1027.0,53.0
1786202807.6549308,setup,1027.0,52.0
1786202808.2237594,setup,1027.0,53.0
1786202808.8606303,ready,1027.0,54.0
1786202809.4309669,training,7108.0,56.0
1786202810.0076456,training,7112.0,53.0
1786202810.5733693,training,7112.0,89.0
1786202811.143845,training,7112.0,86.0
1786202811.7128985,training,7112.0,90.0
1786202812.2868307,training,7112.0,87.0
1786202812.85485,training,7112.0,91.0
1786202813.4252555,training,7112.0,90.0
1786202813.997145,training,7112.0,93.0
1786202814.5686054,training,7112.0,95.0
1786202815.1274703,training,7112.0,87.0
1786202815.7050478,training,7112.0,92.0
1786202816.2771525,training,7112.0,90.0
1786202816.8632226,training,7112.0,92.0
1786202817.434128,training,7112.0,93.0
1786202818.0071452,training,7112.0,97.0
1786202818.5763285,training,7112.0,93.0
1786202819.1488059,training,7112.0,96.0
1786202819.7171211,training,7112.0,96.0
1786202820.290839,training,7112.0,94.0
1786202820.8514574,training,7104.0,95.0
1786202821.408222,training,7104.0,91.0
1786202821.967149,training,7104.0,96.0
1786202822.5240464,training,7104.0,95.0
1786202823.1004844,training,7104.0,95.0
1786202823.6726358,training,7104.0,94.0
1786202824.2303584,training,7104.0,94.0
1786202824.8010395,training,7104.0,90.0
1786202825.363313,training,7104.0,94.0
1786202825.924357,training,7104.0,92.0
1786202826.4992313,training,7104.0,91.0
1786202827.0745397,training,7108.0,88.0
1786202827.6322944,training,7108.0,95.0
1786202828.1955752,training,7108.0,95.0
1786202828.7547138,training,7108.0,93.0
1786202829.327403,training,7108.0,91.0
1786202829.885867,training,7108.0,92.0
1786202830.4547615,training,7108.0,92.0
1786202831.0093024,training,7108.0,96.0
1786202831.5733135,training,7108.0,95.0
1786202832.143658,training,7108.0,92.0
1786202832.7110116,training,7108.0,96.0
1786202833.2651455,training,7108.0,92.0
1786202833.8272984,training,7108.0,93.0
1786202834.3874204,training,7108.0,93.0
1786202834.9598815,training,7108.0,93.0
1786202835.523068,training,7112.0,94.0
1786202836.0942855,training,7112.0,96.0
1786202836.6676784,training,7112.0,92.0
1786202837.2241726,training,7112.0,94.0
1786202837.7782106,training,7112.0,91.0
1786202838.3333235,training,7112.0,96.0
1786202838.9055448,training,7112.0,94.0
1786202839.4682906,training,7112.0,96.0
1786202840.0246353,training,7112.0,95.0
1786202840.6002867,training,7114.0,91.0
1786202841.1737618,training,7109.0,91.0
1786202841.7329,training,7109.0,94.0
1786202842.3020895,training,7109.0,94.0
1786202842.861505,training,7109.0,96.0
1786202843.4359834,training,7109.0,95.0
1786202844.0032594,training,7109.0,93.0
1786202844.5746622,training,7109.0,91.0
1786202845.1422958,training,7109.0,91.0
1786202845.712531,training,7109.0,96.0
1786202846.2844877,training,7109.0,95.0
1786202846.8660722,training,1129.0,95.0
