disease_id,disease_name,top_10_features,top_feature_group,weather_importance,seasonal_importance,demographic_importance,weather_current_importance,weather_3d_importance,weather_7d_importance,shap_additivity_max_abs_error
1,Tả - Cholera,"[{""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.026420951271094575, ""normalized_importance"": 0.4004435601116227}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.01766131737157659, ""normalized_importance"": 0.2676800215090204}, {""feature"": ""humidity_min_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.010357996001299758, ""normalized_importance"": 0.1569887757569219}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.005368246760691103, ""normalized_importance"": 0.08136269668536329}, {""feature"": ""temperature_max_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.003769887758290465, ""normalized_importance"": 0.05713750650615833}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0024008146461790493, ""normalized_importance"": 0.03638743943091325}, {""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""season"", ""human_label"": ""Mùa mưa / mùa khô"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""weather_code_current"", ""human_label"": ""Trạng thái thời tiết — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""temperature_mean_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}]",SEASONAL_CALENDAR,0.21412628226308023,0.7494862783060063,0.03638743943091325,0.05713750650615833,0.0,0.1569887757569219,1.7763568394002505e-15
4,Lỵ Amip - Amoebiasis,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.044899436590042266, ""normalized_importance"": 0.46547144003535673}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.016670161148928202, ""normalized_importance"": 0.17281918226417023}, {""feature"": ""wind_speed_mean_current"", ""human_label"": ""Gió — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.008370081513573465, ""normalized_importance"": 0.08677244507340691}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.008167074413614504, ""normalized_importance"": 0.08466787507583469}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.005171765493261487, ""normalized_importance"": 0.053615575483801976}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.004111984523994504, ""normalized_importance"": 0.0426288502295218}, {""feature"": ""temperature_mean_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.003795528187264544, ""normalized_importance"": 0.03934815456933001}, {""feature"": ""precipitation_sum_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0027451940481083965, ""normalized_importance"": 0.028459364388391823}, {""feature"": ""wind_speed_max_3d"", ""human_label"": ""Gió — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.0025289061714473134, ""normalized_importance"": 0.02621711288018578}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}]",DEMOGRAPHIC,0.39624510940500657,0.13828345055963667,0.46547144003535673,0.08677244507340691,0.02621711288018578,0.28325555145141385,8.881784197001252e-16
5,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.","[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 2.284253146955901, ""normalized_importance"": 0.5190524701007359}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.24805298824185967, ""normalized_importance"": 0.0563652572546031}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.19630158149966645, ""normalized_importance"": 0.04460574822797863}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.1921539469317419, ""normalized_importance"": 0.043663278269942055}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.13941114352280867, ""normalized_importance"": 0.03167849347236952}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.12897314762037645, ""normalized_importance"": 0.029306660226444525}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.1119681389536237, ""normalized_importance"": 0.025442599991122087}, {""feature"": ""humidity_min_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.10431567489882908, ""normalized_importance"": 0.023703725131612074}, {""feature"": ""precipitation_sum_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09765206513274213, ""normalized_importance"": 0.022189548336678414}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09456829981491358, ""normalized_importance"": 0.02148882214634221}]",DEMOGRAPHIC,0.3889258832763157,0.06657904663182636,0.5444950700918579,0.043078173627324884,0.056164633497550125,0.28968307615144073,2.042810365310288e-14
6,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 2.6719513519603564, ""normalized_importance"": 0.614838854277592}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.23404075114125517, ""normalized_importance"": 0.053854778149453136}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.22683633758038638, ""normalized_importance"": 0.05219698098325225}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.1016924179870276, ""normalized_importance"": 0.023400294963450263}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09694808114919315, ""normalized_importance"": 0.02230858248764453}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09046884998168751, ""normalized_importance"": 0.020817655991282207}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.09021715480129239, ""normalized_importance"": 0.020759738777996195}, {""feature"": ""temperature_max_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.09003242941512124, ""normalized_importance"": 0.02071723188702824}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0844325986107051, ""normalized_importance"": 0.019428662934075736}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.08064472357124189, ""normalized_importance"": 0.018557040496900167}]",DEMOGRAPHIC,0.29023185561297254,0.07550062717535971,0.6342675172116677,0.0392167934892472,0.04185234579372582,0.20916271632999953,1.865174681370263e-14
7,Lao bộ máy hô hấp - Respiratory tuberculosis,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0798881059086633, ""normalized_importance"": 0.39842982316273273}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.03409790239975776, ""normalized_importance"": 0.1700581215292318}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.021008259432045907, ""normalized_importance"": 0.10477551063780023}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.014132467222058806, ""normalized_importance"": 0.07048353884589204}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.012101591106233251, ""normalized_importance"": 0.060354851947007314}, {""feature"": ""humidity_min_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.007568449242652959, ""normalized_importance"": 0.03774649378737277}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.006469407579815213, ""normalized_importance"": 0.032265190026415376}, {""feature"": ""temperature_max_3d"", ""human_label"": ""Nhiệt độ — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.006014965330598705, ""normalized_importance"": 0.029998728167875143}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.005960887733266967, ""normalized_importance"": 0.029729024345298803}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0042602589336557676, ""normalized_importance"": 0.02124739589526114}]",DEMOGRAPHIC,0.19589815387733592,0.34531717101292403,0.45878467510974,0.0,0.04799439956083739,0.14790375431649852,8.881784197001252e-16
8,Các dạng lao khác - Other tuberculosis,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 1.0419724058657875, ""normalized_importance"": 0.46552318860546377}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.18149121491936127, ""normalized_importance"": 0.08108503507147885}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.17543437203458037, ""normalized_importance"": 0.07837901253505411}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.09680858389319708, ""normalized_importance"": 0.04325128036466016}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.07359014373410423, ""normalized_importance"": 0.032877951631136784}, {""feature"": ""temperature_mean_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.06665785473874623, ""normalized_importance"": 0.029780805047132815}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.05769243386706977, ""normalized_importance"": 0.025775313838462183}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.055434999105366034, ""normalized_importance"": 0.024766757160357117}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.050123151798508875, ""normalized_importance"": 0.022393577139703098}, {""feature"": ""temperature_max_3d"", ""human_label"": ""Nhiệt độ — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.04344426467966412, ""normalized_importance"": 0.019409643198269096}]",DEMOGRAPHIC,0.3685176319504466,0.1501116292746012,0.481370738774952,0.018980909891490764,0.08608143753404254,0.26345528452491335,6.217248937900877e-15
9,Dịch hạch - Plague,"[{""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.2780009176586254, ""normalized_importance"": 0.2041688081139126}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.25140846926408233, ""normalized_importance"": 0.1846388420286509}, {""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.15403149093916357, ""normalized_importance"": 0.11312346082136115}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.13253479682168048, ""normalized_importance"": 0.09733590712074586}, {""feature"": ""rain_days_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.08365632995286769, ""normalized_importance"": 0.061438693517676855}, {""feature"": ""weather_code_current"", ""human_label"": ""Trạng thái thời tiết — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.08035362900153722, ""normalized_importance"": 0.05901313132000867}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0673468511191212, ""normalized_importance"": 0.0494607227883353}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.038919371328775675, ""normalized_importance"": 0.028583077076373}, {""feature"": ""humidity_min_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.03247504121428047, ""normalized_importance"": 0.023850246661098085}, {""feature"": ""wind_speed_mean_current"", ""human_label"": ""Gió — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.031571674684812145, ""normalized_importance"": 0.023186798248175815}]",SEASONAL_CALENDAR,0.3721499048389566,0.41739072721893655,0.210459367942107,0.11685624997465148,0.04051347153060745,0.2147801833336977,1.2434497875801753e-14
13,Các dạng uốn ván khác - Other tetanus,"[{""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.039621111821474694, ""normalized_importance"": 0.44709807559604803}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.02589615169922488, ""normalized_importance"": 0.2922209664947215}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.016424038451714126, ""normalized_importance"": 0.18533442520148768}, {""feature"": ""humidity_min_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0035959591807578216, ""normalized_importance"": 0.04057802408178164}, {""feature"": ""temperature_max_3d"", ""human_label"": ""Nhiệt độ — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.001915363048451141, ""normalized_importance"": 0.021613606828825526}, {""feature"": ""humidity_mean_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0011657662234622118, ""normalized_importance"": 0.013154901797135583}, {""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""season"", ""human_label"": ""Mùa mưa / mùa khô"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}]",WEATHER_7D,0.5224446083037908,0.4775553916962092,0.0,0.0,0.021613606828825526,0.5008310014749653,1.7763568394002505e-15
17,Nhiễm khuẩn huyết - Septicemia,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 1.4594147872247856, ""normalized_importance"": 0.6351849632072916}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.1623094297798296, ""normalized_importance"": 0.07064236301109793}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.156817576233636, ""normalized_importance"": 0.06825212904662493}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09490402445840725, ""normalized_importance"": 0.04130532992506432}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.053033373688997174, ""normalized_importance"": 0.02308185569330931}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.049014996129135985, ""normalized_importance"": 0.0213329265849733}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.03738546015427415, ""normalized_importance"": 0.016271372840984323}, {""feature"": ""temperature_mean_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.03399628107595941, ""normalized_importance"": 0.014796291454248522}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.029755833862530074, ""normalized_importance"": 0.012950710382422837}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.023912530464320264, ""normalized_importance"": 0.010407513968016995}]",DEMOGRAPHIC,0.23935037753531102,0.054822296246299605,0.7058273262183895,0.00906015834928572,0.02800763770254487,0.20228258148348044,7.105427357601002e-15
18,Các bệnh do vi khuẩn khác - Other bacterial diseases,"[{""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.04693918351685351, ""normalized_importance"": 0.2604661401034874}, {""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.04372225432349664, ""normalized_importance"": 0.24261535815115454}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.029416136034262914, ""normalized_importance"": 0.16323052161426202}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.02692629425895753, ""normalized_importance"": 0.14941435720549343}, {""feature"": ""humidity_mean_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.014489458618528748, ""normalized_importance"": 0.08040219440975858}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0065847620148990135, ""normalized_importance"": 0.036538930101010364}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.006333322261367509, ""normalized_importance"": 0.035143687636952414}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0020398525583599386, ""normalized_importance"": 0.011319168388718761}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0020308716675222715, ""normalized_importance"": 0.011269333308601996}, {""feature"": ""wind_speed_max_3d"", ""human_label"": ""Gió — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.0017300930922226798, ""normalized_importance"": 0.00960030908056058}]",DEMOGRAPHIC,0.1842736229256027,0.31264487881975545,0.5030814982546419,0.0,0.00960030908056058,0.17467331384504212,2.6645352591003757e-15
