feature,feature_group,human_label,mean_abs_shap,normalized_importance,macro_normalized_gain_importance,macro_normalized_split_importance,rank
age_group,DEMOGRAPHIC,Nhóm tuổi,0.957177108641469,0.4458209835347796,0.4487082543686771,0.1385725502211952,1
gender,DEMOGRAPHIC,Giới tính,0.18946330423338537,0.0855483091460449,0.07327827689284667,0.07640117384952269,2
day_of_year_cos,SEASONAL_CALENDAR,Thời điểm trong năm,0.08778998110871768,0.06937059155281369,0.07130984919102756,0.0966769274874039,3
day_of_year_sin,SEASONAL_CALENDAR,Thời điểm trong năm,0.08426732289869586,0.05980777578249444,0.0671507579536361,0.09164741592769489,4
temperature_min_7d,WEATHER_7D,Nhiệt độ — 7 ngày gần đây,0.07336232848864244,0.040387869405489676,0.04883746427899991,0.0712911797288365,5
month,SEASONAL_CALENDAR,Yếu tố mùa vụ theo tháng,0.04193899162694076,0.03010081946078135,0.026557254532558125,0.032682229421854656,6
wind_speed_max_7d,WEATHER_7D,Gió — 7 ngày gần đây,0.05393467892724708,0.0258553798606874,0.02631609334193008,0.05036661807636581,7
temperature_max_7d,WEATHER_7D,Nhiệt độ — 7 ngày gần đây,0.03544871694669905,0.024462178893068346,0.028018178061367624,0.03952709473618392,8
temperature_mean_7d,WEATHER_7D,Nhiệt độ — 7 ngày gần đây,0.028770611999359538,0.022390338941383543,0.0255046361379832,0.0342705206859072,9
rain_max_daily_7d,WEATHER_7D,Lượng mưa — 7 ngày gần đây,0.033260570163681086,0.02080128420436984,0.022312775709840183,0.04249250838910939,10
wind_gust_max_7d,WEATHER_7D,Gió — 7 ngày gần đây,0.03514510717285415,0.020558392949893815,0.024602824561674345,0.04268835386430487,11
wind_speed_mean_7d,WEATHER_7D,Gió — 7 ngày gần đây,0.030219266054520293,0.020399111753284436,0.02384944300404681,0.037327332468262885,12
humidity_max_7d,WEATHER_7D,Độ ẩm — 7 ngày gần đây,0.038464089880951145,0.016781029965068677,0.012146822408888031,0.021742049986011674,13
humidity_min_7d,WEATHER_7D,Độ ẩm — 7 ngày gần đây,0.02460015665587241,0.01431327750191843,0.016413415094094694,0.02671307771188034,14
precipitation_sum_7d,WEATHER_7D,Lượng mưa — 7 ngày gần đây,0.018511855007196643,0.011429796315153359,0.01283850813786613,0.02175608452003328,15
