disease_id,disease_name,positive_fit_queries,n_estimators_locked,support_tier,model_complexity_flag,weather_importance,seasonal_importance,demographic_importance,weather_current_importance,weather_3d_importance,weather_7d_importance,model_path,model_sha256,model_bytes,manifest_index,top_feature_group,shap_additivity_max_abs_error,top_10_features,primary_example_warning
245,"Bệnh lí thai nhi và sơ sinh do biến chứng thai nghén, chửa, đẻ - Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",14,1,LOW,VERY_SIMPLE_MODEL,0.9138088710194947,0.0,0.08619112898050538,0.0,0.47568619795652606,0.4381226730629686,models/disease_245.txt,5806ea395b55c12e9c1388b4955d048b762d86b539394b3131913668c4074b2c,5909,170,WEATHER_3D,2.6645352591003757e-15,"[{""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.010245210507881528, ""normalized_importance"": 0.2686205046412621}, {""feature"": ""wind_gust_max_3d"", ""human_label"": ""Gió — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.009834706100267966, ""normalized_importance"": 0.2578574362742639}, {""feature"": ""precipitation_sum_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.006464828138648428, ""normalized_importance"": 0.1695021684217065}, {""feature"": ""wind_speed_max_3d"", ""human_label"": ""Gió — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.006460766851833349, ""normalized_importance"": 0.16939568501534602}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0032873375079707275, ""normalized_importance"": 0.08619112898050538}, {""feature"": ""precipitation_sum_3d"", ""human_label"": ""Lượng mưa — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.0018472419544427428, ""normalized_importance"": 0.04843307666691614}, {""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""season"", ""human_label"": ""Mùa mưa / mùa khô"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}]",DO_NOT_USE_AS_PRIMARY_WEATHER_EXAMPLE
115,"Tâm thần phân liệt, rối loạn dạng phân liệt và hoang tưởng - Schizophrenia, schiztypal and delusional disorders",119,4,MODERATE,SIMPLE_MODEL,0.8493860387039368,0.13571695126654698,0.014897010029516364,0.17374330886580341,0.07130850810850067,0.6043342217296327,models/disease_115.txt,22126339b52baa6c12fd45e0d276a6aa35ae00343bf474fc1674a35ca0073369,12093,70,WEATHER_7D,2.6645352591003757e-15,"[{""feature"": ""humidity_mean_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.08047080486611641, ""normalized_importance"": 0.24546760305609852}, {""feature"": ""temperature_max_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.05622132912125459, ""normalized_importance"": 0.1714971650026746}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.03977999704004729, ""normalized_importance"": 0.12134463597381881}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.03881813791795493, ""normalized_importance"": 0.11841058736363683}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.02440721177978255, ""normalized_importance"": 0.07445159499564646}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.015044848190211235, ""normalized_importance"": 0.04589270394074365}, {""feature"": ""humidity_min_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.013556240401343508, ""normalized_importance"": 0.04135186473288505}, {""feature"": ""humidity_min_3d"", ""human_label"": ""Độ ẩm — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.010950622621833125, ""normalized_importance"": 0.0334037057467671}, {""feature"": ""wind_speed_max_3d"", ""human_label"": ""Gió — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.010846852101639852, ""normalized_importance"": 0.0330871648484611}, {""feature"": ""precipitation_sum_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.007979805860753957, ""normalized_importance"": 0.02434154623843038}]",DO_NOT_USE_AS_PRIMARY_WEATHER_EXAMPLE
242,Các biến chứng khác của chửa đẻ - Other complications pregnancy and delivery,14,1,LOW,VERY_SIMPLE_MODEL,0.8153960090119093,0.0,0.18460399098809063,0.0,0.23154429882557903,0.5838517101863303,models/disease_242.txt,1c78f1fab8e80860f603b53e604ce59c9bb3725ffff8dda79fa3fc8443e27934,5655,169,WEATHER_7D,2.6645352591003757e-15,"[{""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.013592800512497016, ""normalized_importance"": 0.5202464399076967}, {""feature"": ""wind_speed_mean_3d"", ""human_label"": ""Gió — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.006049701107614499, ""normalized_importance"": 0.23154429882557903}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.004823262651748498, ""normalized_importance"": 0.18460399098809063}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.001661854236992601, ""normalized_importance"": 0.06360527027863362}, {""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""season"", ""human_label"": ""Mùa mưa / mùa khô"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}, {""feature"": ""weather_code_current"", ""human_label"": ""Trạng thái thời tiết — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.0, ""normalized_importance"": 0.0}]",DO_NOT_USE_AS_PRIMARY_WEATHER_EXAMPLE
191,Bệnh túi thừa của ruột non - Diverticular disease of intestine,62,2,LOW,VERY_SIMPLE_MODEL,0.5939758627530215,0.4060241372469785,0.0,0.05057948168294915,0.00691049986006863,0.5364858812100037,models/disease_191.txt,2e96d2308aad96d90e114a7c9bd173cf65d0e41bfe99ee458715423aadf8b48c,7706,133,WEATHER_7D,2.6645352591003757e-15,"[{""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.03824426880694826, ""normalized_importance"": 0.28188123829552003}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.028251089262110594, ""normalized_importance"": 0.20822602373703103}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.020943617555725755, ""normalized_importance"": 0.15436594907321627}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.014944175573983288, ""normalized_importance"": 0.11014677094139513}, {""feature"": ""humidity_mean_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.012087208514234478, ""normalized_importance"": 0.08908935664916023}, {""feature"": ""temperature_mean_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.006862376883596819, ""normalized_importance"": 0.05057948168294915}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.005860629000645455, ""normalized_importance"": 0.043196050321465146}, {""feature"": ""temperature_mean_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.005645238125574347, ""normalized_importance"": 0.041608501429131015}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.001898926246776844, ""normalized_importance"": 0.013996128010063362}, {""feature"": ""wind_speed_mean_3d"", ""human_label"": ""Gió — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.0009375828481417713, ""normalized_importance"": 0.00691049986006863}]",DO_NOT_USE_AS_PRIMARY_WEATHER_EXAMPLE
155,"Tai biến mạch máu não, không xác định rõ chảy máu hoặc do nhồi máu - Stroke, not specified as haemorrhage or infarction",14,16,LOW,NORMAL_MODEL,0.592902485234452,0.2814602353379436,0.12563727942760455,0.017197272118931597,0.026496872280196627,0.5492083408353238,models/disease_155.txt,d606e0b2bfb1181303a8fe0a9fe4aeb569e52d33d38a82f26036e8cc2075c71f,16557,103,WEATHER_7D,1.7763568394002505e-15,"[{""feature"": ""temperature_mean_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.12037469149796458, ""normalized_importance"": 0.32860490466666215}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.07554190315553065, ""normalized_importance"": 0.20621809764040902}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0493466791028855, ""normalized_importance"": 0.1347090537091366}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.039443028564839513, ""normalized_importance"": 0.10767356892069527}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.027562732583604633, ""normalized_importance"": 0.07524213769753463}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.010858991678798242, ""normalized_importance"": 0.029643423222795222}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.007598723192762734, ""normalized_importance"": 0.020743377858529127}, {""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.006580474240399642, ""normalized_importance"": 0.017963710506909286}, {""feature"": ""temperature_mean_3d"", ""human_label"": ""Nhiệt độ — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.004883264016464006, ""normalized_importance"": 0.013330580428689445}, {""feature"": ""humidity_mean_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.004598518214186897, ""normalized_importance"": 0.01255326697478054}]",DO_NOT_USE_AS_PRIMARY_WEATHER_EXAMPLE
107,Thiếu vitamin khác - Other vitamin deficiencies.,84,128,LOW,NORMAL_MODEL,0.5852754235126478,0.09734867277278518,0.31737590371456703,0.0457373402406072,0.09376338634480796,0.44577469692723265,models/disease_107.txt,bde9e18f255391b05d052e48388eccd112c6346597518f4f8e55c6998b174108,149682,67,WEATHER_7D,1.4210854715202004e-14,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.7986487180534811, ""normalized_importance"": 0.25959306394675175}, {""feature"": ""temperature_mean_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.3414687980782492, ""normalized_importance"": 0.1109911398235181}, {""feature"": ""humidity_min_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.211788843007047, ""normalized_importance"": 0.06883992101049774}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.17854876641984269, ""normalized_importance"": 0.05803555467015231}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.17777127864834402, ""normalized_importance"": 0.05778283976781529}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.12019960772588129, ""normalized_importance"": 0.03906972333319351}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.11741051410866549, ""normalized_importance"": 0.0381631553498478}, {""feature"": ""humidity_mean_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.11582562338056122, ""normalized_importance"": 0.03764800190274513}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09995221106127872, ""normalized_importance"": 0.03248850230535552}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09753459501237287, ""normalized_importance"": 0.03170267952320428}]",DO_NOT_USE_AS_PRIMARY_WEATHER_EXAMPLE
92,U cơ trơn tử cung - Leiomyoma of uterus,14,200,LOW,NORMAL_MODEL,0.53703942994639,0.2795975074599521,0.18336306259365792,0.1148509555575247,0.06029352844749608,0.36189494594136923,models/disease_92.txt,00754bbb5722adb01ae632971d5407ab57d441036ea01216a858612fabd47f4c,148536,53,WEATHER_7D,1.5987211554602254e-14,"[{""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.16117589271051697, ""normalized_importance"": 0.15987290128598372}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.13270846852817506, ""normalized_importance"": 0.13163561579848226}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.10376786619400337, ""normalized_importance"": 0.1029289774649318}, {""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.1022297419590882, ""normalized_importance"": 0.10140328786061961}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.10126755387543658, ""normalized_importance"": 0.10044887837710914}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.08262776088187784, ""normalized_importance"": 0.08195977473303832}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.04944918188015909, ""normalized_importance"": 0.04904942073190998}, {""feature"": ""temperature_mean_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.04888937522139231, ""normalized_importance"": 0.048494139708233554}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.04790025244975566, ""normalized_importance"": 0.047513013284360694}, {""feature"": ""humidity_max_current"", ""human_label"": ""Độ ẩm — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.03239892474709934, ""normalized_importance"": 0.03213700269163792}]",DO_NOT_USE_AS_PRIMARY_WEATHER_EXAMPLE
290,Tai nạn giao thông - Transport accidént,70,196,LOW,NORMAL_MODEL,0.5336202086652213,0.20884072981703597,0.2575390615177428,0.0924709781144996,0.13354389500336933,0.3076053355473523,models/disease_290.txt,c41b436fde2c02195dd51b1e68cd4669ee71cb631fcac93cf7d926466ef8ba24,232925,209,WEATHER_7D,1.4210854715202004e-14,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.7453354549897213, ""normalized_importance"": 0.20629661274817457}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.2695690263671467, ""normalized_importance"": 0.07461227916781799}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.25579918844689353, ""normalized_importance"": 0.07080101418367904}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.2179320879666351, ""normalized_importance"": 0.06032002269001687}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.20694142579188313, ""normalized_importance"": 0.057277987907783025}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.18513543853032358, ""normalized_importance"": 0.05124244876956825}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.141096179505626, ""normalized_importance"": 0.039053105160709776}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.14017617600466356, ""normalized_importance"": 0.03879846330153828}, {""feature"": ""humidity_mean_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.11667183152875146, ""normalized_importance"": 0.03229284677976178}, {""feature"": ""humidity_min_current"", ""human_label"": ""Độ ẩm — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.10484754707428558, ""normalized_importance"": 0.02902007904169564}]",DO_NOT_USE_AS_PRIMARY_WEATHER_EXAMPLE
47,Các nhiễm khuẩn do sán lá - Other fluke infections,14,199,LOW,NORMAL_MODEL,0.5282542530924432,0.29033285124288793,0.18141289566466878,0.08600777287860084,0.04748343567945229,0.39476304453439004,models/disease_47.txt,0e577465de93f52b516548a65eb1e76f70db74edef006512c83513f0f3e13d4c,158452,23,WEATHER_7D,1.7763568394002505e-14,"[{""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.3958939454904478, ""normalized_importance"": 0.25556481806653836}, {""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.15780787118710823, ""normalized_importance"": 0.10187107014086459}, {""feature"": ""humidity_min_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.14341635770872452, ""normalized_importance"": 0.09258079286913498}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.13106400836596876, ""normalized_importance"": 0.08460687473162745}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.12321777064765208, ""normalized_importance"": 0.07954182552380419}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.08887472110000601, ""normalized_importance"": 0.05737206185484693}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.06667960407071408, ""normalized_importance"": 0.043044257375469304}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.05433675558781579, ""normalized_importance"": 0.03507647240960688}, {""feature"": ""humidity_mean_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.04761262419753076, ""normalized_importance"": 0.03073578613494104}, {""feature"": ""temperature_max_3d"", ""human_label"": ""Nhiệt độ — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.044931083607250455, ""normalized_importance"": 0.029004748212034588}]",DO_NOT_USE_AS_PRIMARY_WEATHER_EXAMPLE
289,"Di chứng, thương tổn do chấn thương, do ngộ độc và hậu quả khác do nguyên nhân bên ngoài - Sequalae of injuries, of poisoning and of other consequences of external causes",70,32,LOW,NORMAL_MODEL,0.5241664655550933,0.31029293340180786,0.16554060104309884,0.022995731267839437,0.07092673838331032,0.4302439959039435,models/disease_289.txt,68d92542be8ae87db8d4dcebed3e5480d7f09f4e0b0377ea3928e02a66e3591e,42362,208,WEATHER_7D,3.552713678800501e-15,"[{""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.4199249147408337, ""normalized_importance"": 0.29404774969053143}, {""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.1906220899679503, ""normalized_importance"": 0.13348099774212155}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.1497771192901326, ""normalized_importance"": 0.10487976144395975}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.11041608843996266, ""normalized_importance"": 0.07731763750059899}, {""feature"": ""humidity_min_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.10786366587356924, ""normalized_importance"": 0.07553033199535045}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0740239392924541, ""normalized_importance"": 0.05183443993936005}, {""feature"": ""temperature_mean_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.05621101091738673, ""normalized_importance"": 0.03936113502169439}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.04901112360093972, ""normalized_importance"": 0.03431949403039178}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.045783809592001616, ""normalized_importance"": 0.0320596033009773}, {""feature"": ""temperature_min_3d"", ""human_label"": ""Nhiệt độ — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.04545914332555231, ""normalized_importance"": 0.03183225935995688}]",DO_NOT_USE_AS_PRIMARY_WEATHER_EXAMPLE
