disease_id,disease_name,positive_fit_queries,n_estimators_locked,support_tier,model_complexity_flag,weather_importance,seasonal_importance,demographic_importance,weather_current_importance,weather_3d_importance,weather_7d_importance,model_path,model_sha256,model_bytes,manifest_index,top_feature_group,shap_additivity_max_abs_error,top_10_features
161,"Viêm tĩnh mạch, viêm tĩnh mạch huyết khối, nghẽn mạch và huyết khối tĩnh mạch - Phlebitis, thrombophlebitis,venous embolism and thrombosis",613,1,STRONG,VERY_SIMPLE_MODEL,0.5198890430800253,0.12748405908911536,0.3526268978308594,0.0,0.1288635402705715,0.39102550280945375,models/disease_161.txt,2f01986f6742d3a4ee845e6251b337f904dc7680f038fd5121bed1277e58b7d2,6767,107,WEATHER_7D,1.3322676295501878e-15,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.022345766236662953, ""normalized_importance"": 0.3116886013563151}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.012789078901144543, ""normalized_importance"": 0.1783877121560988}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.009315341189485878, ""normalized_importance"": 0.12993448672813662}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.005934748119045636, ""normalized_importance"": 0.08278048383019328}, {""feature"": ""humidity_mean_3d"", ""human_label"": ""Độ ẩm — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.0058600569869582545, ""normalized_importance"": 0.08173865898303992}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.005583216965738851, ""normalized_importance"": 0.0778771722880008}, {""feature"": ""wind_speed_mean_3d"", ""human_label"": ""Gió — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.0033785052664722266, ""normalized_importance"": 0.04712488128753158}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.0032049155417685046, ""normalized_importance"": 0.044703575258922074}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.0029349729158096314, ""normalized_importance"": 0.0409382964745443}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0003459979252476464, ""normalized_importance"": 0.004826131637217504}]"
313,COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,3776,21,STRONG,NORMAL_MODEL,0.4350348155875605,0.25147159286672244,0.31349359154571704,0.004269160356336682,0.019905055450451993,0.41086059978077183,models/disease_313.txt,d4c5128f55e3be1e28fef7e25e1eec464917f390bb07dd16ca1a8719a48f6b1a,35983,220,WEATHER_7D,1.5543122344752192e-15,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.31696289695639535, ""normalized_importance"": 0.30743884691608275}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.12466906846153178, ""normalized_importance"": 0.12092303238630582}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.11874595826132826, ""normalized_importance"": 0.11517789884672319}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09473311296529, ""normalized_importance"": 0.09188658765579887}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.08307911532260383, ""normalized_importance"": 0.08058276745591256}, {""feature"": ""rain_days_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.0612317714080347, ""normalized_importance"": 0.059391889009978084}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.045773141359174985, ""normalized_importance"": 0.04439775738523605}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.04430820417323776, ""normalized_importance"": 0.04297683839574628}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.03711668654353641, ""normalized_importance"": 0.036001410328668056}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.03441135137033532, ""normalized_importance"": 0.0333773646307109}]"
5,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",7727,158,STRONG,NORMAL_MODEL,0.3889258832763157,0.06657904663182636,0.5444950700918579,0.043078173627324884,0.056164633497550125,0.28968307615144073,models/disease_5.txt,dc2df5c4f952031188da235072662b7bc5c00e79faf60eff785b80f0602ce0ed,253871,2,DEMOGRAPHIC,2.042810365310288e-14,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 2.284253146955901, ""normalized_importance"": 0.5190524701007359}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.24805298824185967, ""normalized_importance"": 0.0563652572546031}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.19630158149966645, ""normalized_importance"": 0.04460574822797863}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.1921539469317419, ""normalized_importance"": 0.043663278269942055}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.13941114352280867, ""normalized_importance"": 0.03167849347236952}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.12897314762037645, ""normalized_importance"": 0.029306660226444525}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.1119681389536237, ""normalized_importance"": 0.025442599991122087}, {""feature"": ""humidity_min_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.10431567489882908, ""normalized_importance"": 0.023703725131612074}, {""feature"": ""precipitation_sum_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09765206513274213, ""normalized_importance"": 0.022189548336678414}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09456829981491358, ""normalized_importance"": 0.02148882214634221}]"
274,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,7445,200,STRONG,NORMAL_MODEL,0.38639753104115804,0.0801839182055985,0.5334185507532434,0.07064357216489368,0.06912173855227169,0.2466322203239927,models/disease_274.txt,4781baad018a158a1f61aee88551ce4eac763e8ce4a6af26a4b8efaff362fb66,316053,196,DEMOGRAPHIC,1.865174681370263e-14,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 2.7461711489389873, ""normalized_importance"": 0.4893837864497807}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.2811651311543, ""normalized_importance"": 0.05010527350238271}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.26728586717041963, ""normalized_importance"": 0.04763190735250101}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.2645954999355303, ""normalized_importance"": 0.04715246815044717}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.24710054282296254, ""normalized_importance"": 0.044034764303462676}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.23259137647630374, ""normalized_importance"": 0.041449145862419406}, {""feature"": ""temperature_max_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.12464077416789193, ""normalized_importance"": 0.02221171613134232}, {""feature"": ""weather_code_current"", ""human_label"": ""Trạng thái thời tiết — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.12377036394901811, ""normalized_importance"": 0.02205660393127364}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.122187726876929, ""normalized_importance"": 0.021774568733571555}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.11956751755423566, ""normalized_importance"": 0.021307632082472404}]"
124,Động kinh - Epilepsy,8356,145,STRONG,NORMAL_MODEL,0.3836674407849663,0.09120712455912705,0.5251254346559067,0.061877941400550224,0.04821973826021984,0.27356976112419623,models/disease_124.txt,d985920af1ba6058167c7bea1a2b5d92a78c43d0787f9893ebdd87a4e34f1d1f,223988,77,DEMOGRAPHIC,1.3322676295501878e-14,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 2.11755290550089, ""normalized_importance"": 0.5136372345275696}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.27195693069627597, ""normalized_importance"": 0.06596633568425493}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.22945485999170764, ""normalized_importance"": 0.05565696112191037}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.18241991518205042, ""normalized_importance"": 0.04424808490661949}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.14115292681648675, ""normalized_importance"": 0.03423829401718917}, {""feature"": ""temperature_max_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.1276108666907027, ""normalized_importance"": 0.030953508879238405}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.11858742843232399, ""normalized_importance"": 0.028764768347219635}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.11284937554987866, ""normalized_importance"": 0.02737293648013577}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.09257550680712981, ""normalized_importance"": 0.022455272393845916}, {""feature"": ""temperature_mean_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.07719886719523666, ""normalized_importance"": 0.01872548853528789}]"
96,"U khác insitu, lành tính và các u tiến triển không chắc chắn hoặc chưa rõ - Other insitus and benign neoplasms and neoplasms of uncertain or unknown behaviour",8892,119,STRONG,NORMAL_MODEL,0.37885193110469617,0.1066947657117547,0.5144533031835494,0.06635798282907039,0.04643861618738974,0.266055332088236,models/disease_96.txt,0636a2b535fc8cf220ea5caf92b5c5ad9ccce1a789c43779697fa51cc0a97dda,177697,57,DEMOGRAPHIC,1.1546319456101628e-14,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 1.9853092102859216, ""normalized_importance"": 0.5093473600918276}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.2549161526447502, ""normalized_importance"": 0.06540082961468222}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.25262659165864126, ""normalized_importance"": 0.06481342396623117}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.19951058288312976, ""normalized_importance"": 0.051186076292502915}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.17729665847432408, ""normalized_importance"": 0.04548691180150906}, {""feature"": ""weather_code_current"", ""human_label"": ""Trạng thái thời tiết — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.1253962096938108, ""normalized_importance"": 0.03217142601371665}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.10046326967817244, ""normalized_importance"": 0.02577467576922234}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.09362508917385133, ""normalized_importance"": 0.024020284478605325}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.08637128523105504, ""normalized_importance"": 0.022159261586178973}, {""feature"": ""temperature_max_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.0861649501314052, ""normalized_importance"": 0.0221063246241398}]"
69,U ác xương và sụn khớp - Malignant neoplasms of bone and articular cartilage,4138,101,STRONG,NORMAL_MODEL,0.37162110300118883,0.044127174437107876,0.5842517225617033,0.042412558452657886,0.040673572674836705,0.28853497187369426,models/disease_69.txt,d8bf20be2ee5303b9cf12d8bc54cda20cc5abcd06be73faeaef2f7989b474dd4,153418,34,DEMOGRAPHIC,1.0658141036401503e-14,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 1.357995752142156, ""normalized_importance"": 0.5575969546852578}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.1885590569400328, ""normalized_importance"": 0.07742289013955642}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.1427041114851862, ""normalized_importance"": 0.05859471788456357}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.082803377564138, ""normalized_importance"": 0.03399930455937372}, {""feature"": ""gender"", ""human_label"": ""Giới tính"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 0.06491617510891912, ""normalized_importance"": 0.026654767876445537}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.059221608087057606, ""normalized_importance"": 0.024316562307958096}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.05261640015749213, ""normalized_importance"": 0.021604444968283915}, {""feature"": ""weather_code_current"", ""human_label"": ""Trạng thái thời tiết — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.048521464920046734, ""normalized_importance"": 0.019923052803079346}, {""feature"": ""precipitation_sum_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.043200569969600505, ""normalized_importance"": 0.017738278059941267}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.04187681077972997, ""normalized_importance"": 0.017194738736019163}]"
185,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",9330,105,STRONG,NORMAL_MODEL,0.3687025301550707,0.04769359539531278,0.5836038744496167,0.07556841423420782,0.03641337230008785,0.256720743620775,models/disease_185.txt,df026231076b97f9baf4304fd4b28b78baa5cb7bf7af7f3eb605d3c518466238,149346,127,DEMOGRAPHIC,1.4210854715202004e-14,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 2.063456362454209, ""normalized_importance"": 0.5826746011675727}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.21803043949721349, ""normalized_importance"": 0.06156699103892423}, {""feature"": ""temperature_max_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.15078465026855234, ""normalized_importance"": 0.04257826216054539}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.14581516839822634, ""normalized_importance"": 0.0411749900005479}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.1307568990996432, ""normalized_importance"": 0.0369228666130728}, {""feature"": ""temperature_max_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.11014500985286138, ""normalized_importance"": 0.031102523345966127}, {""feature"": ""weather_code_current"", ""human_label"": ""Trạng thái thời tiết — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.09533755734655448, ""normalized_importance"": 0.026921225092991025}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.08367439467115087, ""normalized_importance"": 0.02362780499266936}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.07933849100688709, ""normalized_importance"": 0.022403441354917855}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.07066656065248782, ""normalized_importance"": 0.019954679339619995}]"
8,Các dạng lao khác - Other tuberculosis,828,90,STRONG,NORMAL_MODEL,0.3685176319504466,0.1501116292746012,0.481370738774952,0.018980909891490764,0.08608143753404254,0.26345528452491335,models/disease_8.txt,69b69a28d8f3c4907db101b5f2641946b07abd734c636170588a29613d445d21,134937,5,DEMOGRAPHIC,6.217248937900877e-15,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 1.0419724058657875, ""normalized_importance"": 0.46552318860546377}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.18149121491936127, ""normalized_importance"": 0.08108503507147885}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.17543437203458037, ""normalized_importance"": 0.07837901253505411}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.09680858389319708, ""normalized_importance"": 0.04325128036466016}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.07359014373410423, ""normalized_importance"": 0.032877951631136784}, {""feature"": ""temperature_mean_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.06665785473874623, ""normalized_importance"": 0.029780805047132815}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.05769243386706977, ""normalized_importance"": 0.025775313838462183}, {""feature"": ""wind_speed_mean_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.055434999105366034, ""normalized_importance"": 0.024766757160357117}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.050123151798508875, ""normalized_importance"": 0.022393577139703098}, {""feature"": ""temperature_max_3d"", ""human_label"": ""Nhiệt độ — 3 ngày gần đây"", ""feature_group"": ""WEATHER_3D"", ""mean_abs_shap"": 0.04344426467966412, ""normalized_importance"": 0.019409643198269096}]"
199,Bệnh khác của da và mô tế bào dưới da - Other diseases of skin and subcutaneous tissue,8240,101,STRONG,NORMAL_MODEL,0.3678731234925972,0.07701016130484016,0.5551167152025628,0.06150630774202312,0.03186764143486774,0.27449917431570636,models/disease_199.txt,e409ab166013fd4e3569e1fbe356bdd5c5beab538ac0c844e50c149f2a10c980,149205,140,DEMOGRAPHIC,1.4210854715202004e-14,"[{""feature"": ""age_group"", ""human_label"": ""Nhóm tuổi"", ""feature_group"": ""DEMOGRAPHIC"", ""mean_abs_shap"": 1.927183783889845, ""normalized_importance"": 0.5505377447824157}, {""feature"": ""temperature_min_7d"", ""human_label"": ""Nhiệt độ — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.24441849044235017, ""normalized_importance"": 0.0698229227726551}, {""feature"": ""wind_speed_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.18534647702283943, ""normalized_importance"": 0.05294784665402327}, {""feature"": ""temperature_max_current"", ""human_label"": ""Nhiệt độ — hiện tại"", ""feature_group"": ""WEATHER_CURRENT"", ""mean_abs_shap"": 0.13461518914731094, ""normalized_importance"": 0.03845546193681284}, {""feature"": ""month"", ""human_label"": ""Yếu tố mùa vụ theo tháng"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.13165689054414753, ""normalized_importance"": 0.03761036607465731}, {""feature"": ""humidity_max_7d"", ""human_label"": ""Độ ẩm — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.10928631492137438, ""normalized_importance"": 0.031219773565629654}, {""feature"": ""wind_gust_max_7d"", ""human_label"": ""Gió — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.10151763114934513, ""normalized_importance"": 0.029000497085859733}, {""feature"": ""rain_max_daily_7d"", ""human_label"": ""Lượng mưa — 7 ngày gần đây"", ""feature_group"": ""WEATHER_7D"", ""mean_abs_shap"": 0.07251280851425657, ""normalized_importance"": 0.020714702147763497}, {""feature"": ""day_of_year_cos"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.06985554746567657, ""normalized_importance"": 0.01995560355155665}, {""feature"": ""day_of_year_sin"", ""human_label"": ""Thời điểm trong năm"", ""feature_group"": ""SEASONAL_CALENDAR"", ""mean_abs_shap"": 0.06806532567300037, ""normalized_importance"": 0.019444191678626203}]"
