category_type,category,relative_importance
TOTAL,SEASONAL_TOTAL,0.16063509339544843
TOTAL,WEATHER_TOTAL,0.30799561392372726
TOTAL,DEMOGRAPHIC_TOTAL,0.5313692926808246
WEATHER_WINDOW,CURRENT,0.02562760554492573
WEATHER_WINDOW,3D,0.047705504896582124
WEATHER_WINDOW,7D,0.2346625034822194
WEATHER_VARIABLE,TEMPERATURE,0.11717255229920806
WEATHER_VARIABLE,HUMIDITY,0.05216250488602064
WEATHER_VARIABLE,RAIN_PRECIPITATION,0.04413239879802711
WEATHER_VARIABLE,WIND,0.08883646012237492
WEATHER_VARIABLE,WEATHER_CODE,0.005691697818096494
